Datetime,Pressure,Atmosphere,Altitude,Tbm,Tds
2016-03-27 10:16:18,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:19,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:16:20,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:21,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:16:22,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:23,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:24,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:25,101142,0.9982,15.25,25.5,27.3
2016-03-27 10:16:26,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:16:27,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:16:28,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:29,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:16:30,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:16:31,101139,0.9982,15.50,25.5,27.3
2016-03-27 10:16:32,101125,0.9980,16.66,25.5,27.3
2016-03-27 10:16:33,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:16:34,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:16:35,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:16:36,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:16:37,101139,0.9982,15.50,25.5,27.3
2016-03-27 10:16:38,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:16:39,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:16:40,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:42,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:16:43,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:16:44,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:45,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:16:46,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:16:47,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:16:48,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:16:49,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:50,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:16:51,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:16:52,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:16:53,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:16:54,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:16:55,101125,0.9980,16.66,25.5,27.3
2016-03-27 10:16:56,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:57,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:16:58,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:16:59,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:00,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:17:01,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:17:02,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:17:03,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:17:04,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:17:05,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:17:07,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:08,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:09,101122,0.9980,16.91,25.6,27.3
2016-03-27 10:17:10,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:17:11,101128,0.9981,16.41,25.5,27.3
